School Year,State,Student Count
2016,Maine,182005
2017,Maine,180917
2018,Maine,180679
2019,Maine,180815
2020,Maine,180335
2021,Maine,172474
2022,Maine,173230
2023,Maine,173928
2024,Maine,172622
2025,Maine,171059
2016,New Hampshire,181294
2017,New Hampshire,179669
2018,New Hampshire,178270
2019,New Hampshire,177336
2020,New Hampshire,176103
2021,New Hampshire,167858
2022,New Hampshire,168567
2023,New Hampshire,167302
2024,New Hampshire,165082
2025,New Hampshire,162660
2026,New Hampshire,160322